scale,part_time,sort_time,merge_time,join_time,num_tuples,time_us
1,2741492983,3281325705,3245098369,285742341,1600000000,4254046
2,4219066493,4889991190,4823809699,319691659,3200000000,6346363
3,5637327498,6470639140,6967670993,407259148,4800000000,8675317
4,7169451511,7827477516,7921936147,505132285,6400000000,10430203
5,8873883112,9674283186,10297820947,676196824,8000000000,13145622
6,10384666101,12472495064,11513484868,699917310,9600000000,15616189
7,10053982872,13445663575,14087561764,794393617,11200000000,17090483
8,11320059541,16142731600,14953470542,1526091592,12800000000,19566568
