scale,part_time,sort_time,merge_time,join_time,num_tuples,time_us
1,2714536205,3128295092,3231312880,305914036,1600000000,4176733
2,4210409569,4677037294,5049915511,328680886,3200000000,6352352
3,5576105785,6107557738,6324390373,454755735,4800000000,8221081
4,7105532166,7553147076,7858236073,507115161,6400000000,10252092
5,8730883782,8946927521,9585897435,681308829,8000000000,12443332
6,10195287133,10891891228,12650892282,814028935,9600000000,15385346
7,10293506626,13025034391,12978181008,866662325,11200000000,16548036
8,11467538941,15961551939,14725771951,1484630203,12800000000,19431704
