scale,part_time,sort_time,merge_time,join_time,num_tuples,time_us,tps
1,652132359,996255207,3017827926,293707372,1600000000,2208548,724532281
2,1024332251,1776165399,4498493292,425642413,3200000000,3439614,930372812
3,1403147673,4056482619,6077974311,551003252,4800000000,5382795,893843324
4,1740222617,8464095247,7446417651,933346926,6400000000,8275087,773941210
5,2099361627,11104867161,8927836042,813761168,8000000000,10217276,782991374
6,2407008348,13645415380,10458882297,1041721875,9600000000,12268759,782585070
7,2814741869,16565934109,11966657157,1096641585,11200000000,14446590,776447036
8,3092234931,20421581657,13291109626,1626751053,12800000000,17112783,749019426
