num_partitions,time_histogram,time_init,time_partition
32,82,33,210
64,71,32,203
128,62,32,197
256,56,32,205
512,52,32,228
1024,51,32,241
2048,57,32,289
4096,77,33,311
8192,110,33,339
16384,160,33,362
