num_partitions,time_histogram,time_init,time_partition
32,83,32,210
64,71,32,203
128,62,32,198
256,55,32,205
512,51,32,228
1024,51,32,241
2048,58,32,286
4096,77,32,316
8192,110,32,339
16384,160,32,362
