num_partitions,time_histogram,time_init,time_partition
32,117,32,235
64,103,33,229
128,89,32,248
256,77,32,285
512,67,32,306
1024,60,33,334
2048,59,33,377
4096,84,33,487
8192,135,33,770
16384,187,38,795
