num_partitions,time_histogram,time_init,time_partition
32,117,32,215
64,103,32,207
128,89,32,214
256,77,32,254
512,67,32,276
1024,60,32,304
2048,59,32,325
4096,84,32,365
8192,136,32,382
16384,188,33,614
