num_partitions,time_histogram,time_init,time_partition
32,117,33,252
64,104,33,250
128,90,33,253
256,77,33,278
512,67,33,302
1024,60,33,327
2048,59,33,373
4096,83,33,484
8192,135,33,662
16384,187,33,838
