num_partitions,time_histogram,time_init,time_partition
32,117,32,207
64,102,32,221
128,89,32,273
256,77,32,296
512,67,32,320
1024,60,32,340
2048,59,33,367
4096,84,33,397
8192,136,33,575
16384,188,33,839
