num_partitions,time_histogram,time_init,time_partition
32,117,32,215
64,103,32,207
128,89,32,202
256,77,32,211
512,67,32,240
1024,60,32,256
2048,59,32,284
4096,84,32,307
8192,136,32,347
16384,187,32,365
