2025-04-11T12:26:12+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.46, 0.29, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches","branch-instructions","branch-misses","cache-misses","cycles","instructions"
"BM_JoinLinBin8/52428800/52428800/256/iterations:5",5,51.028,51.0266,ms,,,,,,0,5.24288e+07,1.69877e+07,13124.4,4.24342e+06,1.92035e+08,8.63189e+07
"BM_JoinLinBin8/52428800/52428800/512/iterations:5",5,24.5294,24.5297,ms,,,,,,0,5.24288e+07,8.54111e+06,21277,1.71005e+06,9.25351e+07,4.33995e+07
"BM_JoinLinBin8/52428800/52428800/1024/iterations:5",5,11.4102,11.4102,ms,,,,,,0,5.24288e+07,4.29982e+06,30969.4,689872,4.30062e+07,2.18439e+07
"BM_JoinLinBin8/52428800/52428800/2048/iterations:5",5,5.70204,5.70187,ms,,,,,,0,5.24288e+07,2.16314e+06,43576.8,284296,2.15248e+07,1.09883e+07
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,8.32858,8.32864,ms,,,,,,0,1.04858e+06,1.67772e+07,17,4977.4,3.14721e+07,1.24781e+08
"BM_JoinLinBin64/1048576/1048576/2/iterations:5",5,4.71896,4.71901,ms,,,,,,0,1.04858e+06,8.91293e+06,11,44,1.78316e+07,6.50118e+07
"BM_JoinLinBin64/1048576/1048576/4/iterations:5",5,2.63758,2.63765,ms,,,,,,0,1.04858e+06,4.98076e+06,9.4,32,9.9655e+06,3.51274e+07
"BM_JoinLinBin64/1048576/1048576/8/iterations:5",5,1.63298,1.63298,ms,,,,,,0,1.04858e+06,3.14575e+06,11.8,15,6.1648e+06,2.07095e+07
"BM_JoinLinBin64/1048576/1048576/16/iterations:5",5,1.13072,1.13069,ms,,,,,,0,1.04858e+06,2.22825e+06,10.6,5,4.26424e+06,1.35005e+07
"BM_JoinLinBin64/1048576/1048576/32/iterations:5",5,0.877882,0.87794,ms,,,,,,0,1.04858e+06,1.7695e+06,12,4,3.31327e+06,9.89607e+06
"BM_JoinLinBin64/1048576/1048576/64/iterations:5",5,0.879547,0.879599,ms,,,,,,0,1.04858e+06,1.54012e+06,13024,5.2,3.31946e+06,8.09383e+06
"BM_JoinLinBin64/1048576/1048576/128/iterations:5",5,0.716624,0.716636,ms,,,,,,0,1.04858e+06,1.1515e+06,2584.4,7.2,2.70415e+06,5.73602e+06
"BM_JoinLinBin64/1048576/1048576/256/iterations:5",5,0.424228,0.424271,ms,,,,,,0,1.04858e+06,579536,5594.8,21.6,1.59932e+06,2.88701e+06
"BM_JoinLinBin64/1048576/1048576/512/iterations:5",5,0.275768,0.275768,ms,,,,,,0,1.04858e+06,291016,7488.2,9.8,1.03654e+06,1.44972e+06
"BM_JoinLinBin64/1048576/1048576/1024/iterations:5",5,0.156777,0.156757,ms,,,,,,0,1.04858e+06,145990,5151.4,18,587936,727289
"BM_JoinLinBin64/1048576/1048576/2048/iterations:5",5,0.0870354,0.086982,ms,,,,,,0,1.04858e+06,73289.6,3076.8,2,322385,365113
"BM_JoinLinBin64/10485760/10485760/1/iterations:5",5,83.5628,83.5514,ms,,,,,,0,1.04858e+07,1.67772e+08,17.8,2.41038e+06,3.15476e+08,1.24781e+09
"BM_JoinLinBin64/10485760/10485760/2/iterations:5",5,47.5505,47.5494,ms,,,,,,0,1.04858e+07,8.9129e+07,10.2,1.85452e+06,1.7909e+08,6.50117e+08
"BM_JoinLinBin64/10485760/10485760/4/iterations:5",5,26.8853,26.8856,ms,,,,,,0,1.04858e+07,4.98074e+07,10.4,1.525e+06,1.01467e+08,3.51273e+08
"BM_JoinLinBin64/10485760/10485760/8/iterations:5",5,17.103,17.1033,ms,,,,,,0,1.04858e+07,3.14573e+07,16.2,1.35165e+06,6.4592e+07,2.07094e+08
"BM_JoinLinBin64/10485760/10485760/16/iterations:5",5,12.4218,12.4219,ms,,,,,,0,1.04858e+07,2.22823e+07,21.2,1.26412e+06,4.68292e+07,1.35004e+08
"BM_JoinLinBin64/10485760/10485760/32/iterations:5",5,10.2118,10.2094,ms,,,,,,0,1.04858e+07,1.76948e+07,27.4,1.21605e+06,3.83982e+07,9.89595e+07
"BM_JoinLinBin64/10485760/10485760/64/iterations:5",5,9.03753,9.03745,ms,,,,,,0,1.04858e+07,1.5401e+07,24.8,1.18414e+06,3.41046e+07,8.09371e+07
"BM_JoinLinBin64/10485760/10485760/128/iterations:5",5,18.7225,18.7227,ms,,,,,,0,1.04858e+07,1.20679e+07,2916.8,1.02844e+06,7.05282e+07,5.98529e+07
"BM_JoinLinBin64/10485760/10485760/256/iterations:5",5,10.0885,10.0885,ms,,,,,,0,1.04858e+07,6.068e+06,8613.4,603096,3.80143e+07,3.00971e+07
"BM_JoinLinBin64/10485760/10485760/512/iterations:5",5,5.53903,5.53899,ms,,,,,,0,1.04858e+07,3.04694e+06,16458.2,314819,2.09077e+07,1.51131e+07
"BM_JoinLinBin64/10485760/10485760/1024/iterations:5",5,2.46043,2.46015,ms,,,,,,0,1.04858e+07,1.52838e+06,23270.2,71440.8,9.27788e+06,7.58116e+06
"BM_JoinLinBin64/10485760/10485760/2048/iterations:5",5,1.10009,1.0998,ms,,,,,,0,1.04858e+07,766996,25408.8,38619.4,4.14457e+06,3.80459e+06
