algo,partition,sort,merge,join,num_tuples,time_us
SSMJ [double],2714536205,3128295092,3231312880,305914036,1600000000,4176733
SSMJ [int64_t],2741492983,3281325705,3245098369,285742341,1600000000,4254046
m-way w/o NUMA,2664101430,3051030150,3035841962,295189299,1600000000,4028059
m-way with NUMA,652132359,996255207,3017827926,293707372,1600000000,2208548
