algo,partition,sort,merge,join,num_tuples,time_us
SSMJ [double],2322390386,2672431567,3309038322,752674050,1600000000,4126271
SSMJ [int64_t],2398589800,2740489898,3399329090,819129589,1600000000,4263413
m-way w/o NUMA,2343425527,2811059028,2724097589,224058573,1600000000,3691664
m-way with NUMA,607999309,2152255580,2683702663,226958075,1600000000,2583740
