num_partitions,time_histogram,time_init,time_partition
32,80,225,194
64,80,226,191
128,79,224,205
256,77,225,250
512,77,226,291
1024,77,227,318
2048,76,225,422
4096,77,226,566
8192,86,226,869
16384,95,228,955
