num_partitions,time_histogram,time_init,time_partition
32,81,225,273
64,79,225,268
128,79,225,291
256,76,226,318
512,76,226,355
1024,76,226,392
2048,75,228,477
4096,78,226,563
8192,90,224,836
16384,97,228,1097
