num_partitions,time_histogram,time_init,time_partition
32,79,227,249
64,79,227,246
128,78,227,285
256,78,226,264
512,76,228,281
1024,76,227,312
2048,79,225,334
4096,79,292,401
8192,87,281,806
16384,93,207,680
