num_partitions,time_histogram,time_init,time_partition
32,78,224,195
64,78,224,195
128,78,224,196
256,76,224,223
512,75,224,249
1024,75,223,275
2048,76,224,317
4096,76,226,439
8192,85,224,614
16384,95,226,852
