num_partitions,time_histogram,time_init,time_partition
32,77,225,270
64,77,224,566
128,75,228,574
256,73,225,587
512,74,225,594
1024,72,226,607
2048,70,223,676
4096,167,286,987
8192,81,460,1194
16384,94,220,964
