num_partitions,time_histogram,time_init,time_partition
32,78,223,337
64,79,223,339
128,78,222,348
256,78,223,396
512,78,224,422
1024,75,226,450
2048,77,223,533
4096,77,224,618
8192,85,227,841
16384,96,226,1063
