num_partitions,time_histogram,time_init,time_partition
32,104,105,280
64,100,103,278
128,97,103,304
256,105,106,334
512,100,112,342
1024,100,105,387
2048,90,103,525
4096,86,105,689
8192,105,103,788
16384,112,104,862
