num_partitions,time_histogram,time_init,time_partition
32,98,105,344
64,105,104,313
128,106,101,309
256,97,102,345
512,99,104,359
1024,95,103,396
2048,88,103,593
4096,85,107,986
8192,102,105,1020
16384,108,106,1037
