num_partitions,time_histogram,time_init,time_partition
32,95,105,343
64,100,109,313
128,95,105,310
256,97,114,295
512,102,109,348
1024,101,107,337
2048,91,107,383
4096,85,107,452
8192,103,107,519
16384,108,107,588
