num_partitions,time_histogram,time_init,time_partition
32,100,103,589
64,96,100,576
128,98,102,602
256,94,102,543
512,94,101,546
1024,88,106,587
2048,84,102,699
4096,93,100,881
8192,111,104,971
16384,121,104,1029
