num_partitions,time_histogram,time_init,time_partition
32,101,103,324
64,95,103,300
128,100,101,279
256,118,224,292
512,157,162,466
1024,100,105,376
2048,92,105,563
4096,86,107,613
8192,103,105,670
16384,108,105,710
