num_partitions,time_histogram,time_init,time_partition
32,101,112,288
64,100,112,271
128,99,107,273
256,99,107,318
512,98,107,341
1024,100,109,345
2048,93,111,411
4096,86,107,581
8192,105,113,681
16384,107,110,732
