num_partitions,time_histogram,time_init,time_partition
32,102,100,366
64,91,100,357
128,99,100,331
256,92,106,299
512,92,100,310
1024,90,103,340
2048,89,103,634
4096,91,103,550
8192,111,103,586
16384,121,112,936
