num_partitions,time_histogram,time_init,time_partition
32,52,26,181
64,51,26,179
128,51,26,177
256,50,26,403
512,50,26,400
1024,50,26,405
2048,50,26,407
4096,54,26,415
8192,125,26,424
16384,81,26,498
