num_partitions,time_histogram,time_init,time_partition
32,61,26,150
64,58,26,148
128,57,26,150
256,56,26,176
512,55,26,246
1024,55,26,298
2048,55,26,380
4096,58,26,490
8192,99,26,595
16384,84,26,662
