num_partitions,time_histogram,time_init,time_partition
32,60,26,134
64,58,26,139
128,57,26,133
256,56,26,163
512,56,26,232
1024,55,26,238
2048,55,26,274
4096,58,26,389
8192,114,26,494
16384,85,26,551
