num_partitions,time_histogram,time_init,time_partition
32,61,26,190
64,58,26,186
128,57,26,185
256,56,26,403
512,56,26,399
1024,55,26,403
2048,55,26,406
4096,58,26,413
8192,102,26,418
16384,84,26,501
