num_partitions,time_histogram,time_init,time_partition
32,60,26,149
64,58,26,154
128,57,26,156
256,56,26,167
512,55,26,268
1024,55,26,366
2048,55,26,441
4096,58,26,583
8192,129,26,666
16384,85,26,709
