num_partitions,time_histogram,time_init,time_partition
32,61,26,146
64,59,26,166
128,57,26,268
256,56,26,262
512,56,26,277
1024,55,26,295
2048,55,26,284
4096,58,26,305
8192,105,26,471
16384,85,26,597
