num_partitions,time_histogram,time_init,time_partition
32,60,26,160
64,58,26,161
128,57,26,183
256,56,26,201
512,55,26,274
1024,55,26,427
2048,55,26,596
4096,58,26,725
8192,126,26,805
16384,85,26,882
