num_partitions,time_histogram,time_init,time_partition
32,52,26,184
64,51,26,181
128,50,26,179
256,50,26,392
512,50,26,387
1024,50,26,393
2048,50,26,396
4096,55,26,403
8192,129,26,419
16384,80,26,516
