algo,partition,sort,merge,join,num_tuples,time_us
SSMJ [double],201234824,185025128,295641427,60869687,128000000,338417
SSMJ [int64_t],201439668,185139949,293080111,52786882,128000000,333713
m-way w/o NUMA,212233983,220923736,252179589,25536522,128000000,323884
m-way with NUMA,76621960,137130794,235259994,26252508,128000000,216537
