scale,part_time,sort_time,merge_time,join_time,num_tuples,time_us
1,2398589800,2740489898,3399329090,819129589,1600000000,4263413
2,3477257453,4248513115,4953205382,761477355,3200000000,6123641
3,4901431954,6438409525,7070834400,813365279,4800000000,8758716
4,5752170232,7832468900,8091511752,904786726,6400000000,10288175
5,7369381352,9739844198,10244183354,935631599,8000000000,12888855
6,8130410697,11835122030,13161359675,945121114,9600000000,15523648
7,8884177030,13827544957,14110317816,1124595824,11200000000,17288970
8,9565823876,15545923388,15465597920,1077077698,12800000000,18978282
