scale,part_time,sort_time,merge_time,join_time,num_tuples,time_us
1,607999309,2152255580,2683702663,226958075,1600000000,2583740
2,949202791,3822591540,4244623954,303215464,3200000000,4246142
3,1304479231,5538595608,5701885870,385959351,4800000000,5891488
4,1643729144,7827407554,7150448876,526168114,6400000000,7812729
5,1983586922,9384069154,8143417064,1023575214,8000000000,9355841
6,2319926718,12842463795,9430705497,652278889,9600000000,11502108
7,2686848212,13648743998,10894083100,738758961,11200000000,12742768
8,2994042873,16017202927,12541705822,1623799699,12800000000,15115745
