scale,part_time,sort_time,merge_time,join_time,num_tuples,time_us
1,2322390386,2672431567,3309038322,752674050,1600000000,4126271
2,3421237333,4235776580,4919381942,775850692,3200000000,6083452
3,4653382486,6307631655,7330753559,812802321,4800000000,8704283
4,5980658342,7890451702,8843657904,886941698,6400000000,10753239
5,6984002699,9708725070,9806458774,919523436,8000000000,12492312
6,8334753046,11838727300,12498735078,1119876716,9600000000,15396103
7,8785900359,13748272310,13764416932,1061981745,11200000000,17021945
8,10079006954,15424852478,15214670270,1149819674,12800000000,19075744
